seed,run_name,method,targeted_drop,random_drop,gap_target_minus_random,auc_gap,acc_gap
41,prelim_reimpl_cluster_seed41,input_gradients,0.19093502417966557,0.03101960210489769,0.15991542207476783,0.07045906921296291,0.17753333333333332
41,prelim_reimpl_cluster_seed41,integrated_gradients,0.2681739409928665,0.03101960210489769,0.23715433888796877,0.10379136921296292,0.26255833333333334
41,prelim_reimpl_cluster_seed41,smoothgrad,0.1861557925701777,0.03101960210489769,0.15513619046528,0.061576943171296264,0.16920833333333335
52,prelim_reimpl_cluster_seed52,input_gradients,0.19907406306781966,0.031837909105958906,0.16723615396186073,0.07713899780092599,0.18640000000000004
52,prelim_reimpl_cluster_seed52,integrated_gradients,0.2529610806890826,0.031837909105958906,0.22112317158312364,0.09946152384259269,0.24543750000000003
52,prelim_reimpl_cluster_seed52,smoothgrad,0.20546046922137806,0.031837909105958906,0.17362256011541916,0.07521989293981492,0.18985000000000002
63,prelim_reimpl_cluster_seed63,input_gradients,0.1728138543311346,0.028881276594752807,0.1439325777363818,0.06361234155092589,0.156325
63,prelim_reimpl_cluster_seed63,integrated_gradients,0.23906455973596025,0.028881276594752807,0.21018328314120743,0.09026029988425924,0.22876249999999998
63,prelim_reimpl_cluster_seed63,smoothgrad,0.197854908878983,0.028881276594752807,0.16897363228423018,0.06804096828703697,0.18286249999999998
74,prelim_reimpl_cluster_seed74,input_gradients,0.1898021700202669,0.03082518434629683,0.15897698567397006,0.07045998773148157,0.17553333333333337
74,prelim_reimpl_cluster_seed74,integrated_gradients,0.2697669535680216,0.03082518434629683,0.23894176922172478,0.10452551793981485,0.26445833333333335
74,prelim_reimpl_cluster_seed74,smoothgrad,0.20271797839689376,0.03082518434629683,0.17189279405059696,0.06969215474537038,0.18673333333333333
85,prelim_reimpl_cluster_seed85,input_gradients,0.22266961306896377,0.030180115832799257,0.19248949723616451,0.08442178402777778,0.21624583333333333
85,prelim_reimpl_cluster_seed85,integrated_gradients,0.26553218742939466,0.030180115832799257,0.23535207159659538,0.10572756770833341,0.26208333333333333
85,prelim_reimpl_cluster_seed85,smoothgrad,0.21836215400352726,0.030180115832799257,0.18818203817072804,0.08203433472222216,0.20505833333333334
