seed,run_name,metric,spearman_delta_auc,pearson_delta_auc,spearman_delta_acc,pearson_delta_acc
41,prelim_reimpl_cluster_seed41,prob_l1_drift,0.9500000000000001,0.9851151676697684,0.9833333333333333,0.9871916116580635
41,prelim_reimpl_cluster_seed41,top1_flip_rate,0.9500000000000001,0.9847236646450775,0.9833333333333333,0.9864980677686063
41,prelim_reimpl_cluster_seed41,class_js_divergence,0.9500000000000001,0.9340991583655776,0.9833333333333333,0.9399008575455361
41,prelim_reimpl_cluster_seed41,confidence_drop,0.6666666666666667,0.24387071658626297,0.7,0.2308017444353371
41,prelim_reimpl_cluster_seed41,entropy_shift,0.7833333333333333,0.5022605082782714,0.8499999999999999,0.4919486762268037
52,prelim_reimpl_cluster_seed52,prob_l1_drift,0.9500000000000001,0.9852693070818321,0.9833333333333333,0.9886237755858371
52,prelim_reimpl_cluster_seed52,top1_flip_rate,0.9500000000000001,0.9852130839304898,0.9833333333333333,0.9880487810668516
52,prelim_reimpl_cluster_seed52,class_js_divergence,0.9500000000000001,0.9252981413983947,0.9833333333333333,0.9390122184221197
52,prelim_reimpl_cluster_seed52,confidence_drop,0.7166666666666667,0.4557282049251413,0.7833333333333333,0.42977780428320017
52,prelim_reimpl_cluster_seed52,entropy_shift,0.8833333333333333,0.698587595076757,0.9333333333333332,0.6802464789922102
63,prelim_reimpl_cluster_seed63,prob_l1_drift,0.9500000000000001,0.9861181274900931,0.9833333333333333,0.9882732631241085
63,prelim_reimpl_cluster_seed63,top1_flip_rate,0.9500000000000001,0.9864632478116588,0.9833333333333333,0.9883635855629379
63,prelim_reimpl_cluster_seed63,class_js_divergence,0.9500000000000001,0.9249834275957574,0.9833333333333333,0.9329524166305306
63,prelim_reimpl_cluster_seed63,confidence_drop,0.9333333333333332,0.7406149243715701,0.9666666666666667,0.7328884675328493
63,prelim_reimpl_cluster_seed63,entropy_shift,0.9333333333333332,0.836264722100271,0.9666666666666667,0.8312716723925052
74,prelim_reimpl_cluster_seed74,prob_l1_drift,0.9500000000000001,0.9836947962633111,0.9833333333333333,0.9877324017656627
74,prelim_reimpl_cluster_seed74,top1_flip_rate,0.9500000000000001,0.9841300948062733,0.9833333333333333,0.9876918812967801
74,prelim_reimpl_cluster_seed74,class_js_divergence,0.9500000000000001,0.9234796115360415,0.9833333333333333,0.9331626967740625
74,prelim_reimpl_cluster_seed74,confidence_drop,0.9,0.6098141849511151,0.9333333333333332,0.5923951602276827
74,prelim_reimpl_cluster_seed74,entropy_shift,0.8666666666666667,0.764619365985309,0.9166666666666666,0.7522577453954021
85,prelim_reimpl_cluster_seed85,prob_l1_drift,0.9833333333333333,0.9854767070066485,0.9833333333333333,0.9891990525693496
85,prelim_reimpl_cluster_seed85,top1_flip_rate,0.9833333333333333,0.9839522137774404,0.9833333333333333,0.9877687895316559
85,prelim_reimpl_cluster_seed85,class_js_divergence,0.9833333333333333,0.9401477930854244,0.9833333333333333,0.9392218237659162
85,prelim_reimpl_cluster_seed85,confidence_drop,0.5833333333333334,0.1062538390908567,0.5833333333333334,0.11359922774731833
85,prelim_reimpl_cluster_seed85,entropy_shift,0.7666666666666667,0.4195986220102044,0.7666666666666667,0.42729876392588106
