seed,metric,loocv_mae,loocv_rmse
41,prob_l1_drift,0.014376864765983365,0.022200734129093506
41,top1_flip_rate,0.01732819323697636,0.028075623389147
41,class_js_divergence,0.12426979092559143,0.31142059897650004
41,confidence_drop,0.052295922312878294,0.07960653125920414
41,entropy_shift,0.05074152394254108,0.07638429619327533
52,prob_l1_drift,0.015415141631830727,0.024825617243171325
52,top1_flip_rate,0.018322062956598845,0.03076244317648555
52,class_js_divergence,0.12807853149176465,0.3212191876287771
52,confidence_drop,0.052726461957756515,0.07773488733007942
52,entropy_shift,0.04437002377735946,0.0735943849322273
63,prob_l1_drift,0.015275886762897916,0.0239857981063085
63,top1_flip_rate,0.01918703991660013,0.031724111909281774
63,class_js_divergence,0.12398294773118465,0.3092476173828413
63,confidence_drop,0.043490218999027073,0.06445111019488216
63,entropy_shift,0.04120393834702914,0.057382511066341305
74,prob_l1_drift,0.015127876805434596,0.02441304730468115
74,top1_flip_rate,0.01890845203213852,0.03195861151022104
74,class_js_divergence,0.12599234642100907,0.31560630160503395
74,confidence_drop,0.048895558374176286,0.07735811802506674
74,entropy_shift,0.041656006063403056,0.06722060133525572
85,prob_l1_drift,0.01651079432535287,0.027172801496157254
85,top1_flip_rate,0.020177323362091784,0.03548082534033975
85,class_js_divergence,0.13580574007369683,0.3416648075575938
85,confidence_drop,0.06757829789392705,0.09538288640692758
85,entropy_shift,0.05540854138030873,0.0817282546082016
