method,mask_frac,targeted_prob_drop,random_prob_drop,gap_prob_drop_target_minus_rand,targeted_auc_drop,random_auc_drop,gap_auc_drop_target_minus_rand,targeted_acc_drop,random_acc_drop,gap_acc_drop_target_minus_rand,targeted_mask_k_mean,random_mask_k_mean
input_gradients,0.02,0.08958877516335344,0.010510847364809506,0.07907792779854393,0.034355333333333404,0.0035275444444443638,0.03082778888888904,0.09475,0.011366666666666672,0.08338333333333332,1.0204,1.0204
input_gradients,0.05,0.13125946576633624,0.016457443724447473,0.11480202204188876,0.05107523749999987,0.005604346296296432,0.045470891203703435,0.14359999999999995,0.01808333333333334,0.1255166666666666,1.96815,1.9681500000000003
input_gradients,0.1,0.21488898255699382,0.03172262647914675,0.18316635607784706,0.08934873333333326,0.011123473611111137,0.07822525972222212,0.23734999999999995,0.03291666666666663,0.20443333333333333,3.9206,3.9206
input_gradients,0.2,0.3280028732319787,0.06538749085118704,0.26261538238079163,0.15164637083333332,0.024334033796296246,0.12731233703703707,0.36865,0.07184999999999997,0.2968,7.8369,7.8369
integrated_gradients,0.02,0.17631173177742618,0.010510847364809506,0.16580088441261667,0.0629457555555556,0.0035275444444443638,0.05941821111111123,0.18435,0.011366666666666672,0.17298333333333335,1.0204,1.0204
integrated_gradients,0.05,0.22140277428375735,0.016457443724447473,0.20494533055930989,0.08390607777777759,0.005604346296296432,0.07830173148148116,0.24295,0.01808333333333334,0.22486666666666666,1.96815,1.9681500000000003
integrated_gradients,0.1,0.29877401981536716,0.03172262647914675,0.2670513933362204,0.12873397222222227,0.011123473611111137,0.11761049861111113,0.3329,0.03291666666666663,0.2999833333333333,3.9206,3.9206
integrated_gradients,0.2,0.3762072380949153,0.06538749085118704,0.31081974724372824,0.18416906944444444,0.024334033796296246,0.1598350356481482,0.42425,0.07184999999999997,0.35240000000000005,7.8369,7.8369
smoothgrad,0.02,0.09733171912531056,0.010510847364809506,0.08682087176050106,0.03193341527777771,0.0035275444444443638,0.028405870833333347,0.09840000000000004,0.011366666666666672,0.08703333333333337,1.0204,1.0204
smoothgrad,0.05,0.13328889864017188,0.016457443724447473,0.1168314549157244,0.04583760277777782,0.005604346296296432,0.040233256481481385,0.1431,0.01808333333333334,0.12501666666666666,1.96815,1.9681500000000003
smoothgrad,0.1,0.2066475843831608,0.03172262647914675,0.17492495790401405,0.07961015277777772,0.011123473611111137,0.06848667916666658,0.22565000000000002,0.03291666666666663,0.1927333333333334,3.9206,3.9206
smoothgrad,0.2,0.30735496813206753,0.06538749085118704,0.24196747728088047,0.13351599999999997,0.024334033796296246,0.10918196620370373,0.3439,0.07184999999999997,0.27205,7.8369,7.8369
