corruption_kind,severity,acc_clean,auc_clean,acc_corrupted,auc_corrupted,delta_acc,delta_auc,entropy_shift,confidence_drop,top1_flip_rate,prob_l1_drift,class_js_divergence,all_finite_logits,all_finite_probs
pt_noise,0.03,0.7368733333333334,0.9627633469382715,0.7363866666666666,0.9626545800740741,0.0004866666666667463,0.0001087668641973627,0.00032076219019161467,8.907286693660144e-05,0.01252,0.02139284263166334,2.4296670128792964e-08,True,True
pt_noise,0.06,0.7368733333333334,0.9627633469382715,0.73514,0.9624181794320987,0.0017333333333333645,0.00034516750617274994,0.0014128078060061666,0.0004063944090406668,0.02538,0.043173371958105854,1.3784428427669824e-07,True,True
eta_phi_jitter,0.02,0.7368733333333334,0.9627633469382715,0.7075333333333333,0.9559508272592593,0.029340000000000033,0.006812519679012197,0.033715240045706585,0.011574211744765472,0.12952666666666668,0.22765587178673366,0.0031006094464952477,True,True
eta_phi_jitter,0.05,0.7368733333333334,0.9627633469382715,0.48526,0.8888421897037038,0.25161333333333336,0.07392115723456771,0.024933792522845444,0.0009990396737059593,0.46925333333333336,0.8500446506165472,0.07935790746262839,True,True
dropout,0.05,0.7368733333333334,0.9627633469382715,0.6943466666666667,0.9510071710617284,0.04252666666666671,0.011756175876543096,0.02877795624692936,0.010411308853328305,0.11304,0.19484703972029446,0.0010456714600958574,True,True
dropout,0.1,0.7368733333333334,0.9627633469382715,0.63526,0.9329428611604937,0.10161333333333333,0.02982048577777774,0.06808836904447868,0.024823313295344596,0.22206666666666666,0.3827541254831134,0.005081186371130913,True,True
merge,0.1,0.7368733333333334,0.9627633469382715,0.71342,0.9564707177530865,0.023453333333333326,0.006292629185185028,0.013305358577079818,0.004722624196906944,0.08919333333333333,0.15669161128319867,0.0008383155377678214,True,True
merge,0.2,0.7368733333333334,0.9627633469382715,0.68302,0.9480176616790124,0.05385333333333342,0.014745685259259123,0.028337486683893798,0.010069817743102782,0.16535333333333332,0.288392682503424,0.003559065689766605,True,True
global_scale,0.03,0.7368733333333334,0.9627633469382715,0.7335,0.9619971253827162,0.0033733333333333393,0.0007662215555552798,0.002889102664799248,0.0011177448560794057,0.03354,0.055207855928536206,6.372154860891918e-07,True,True
